,country,event,name,dist_km,year,finishers,duration
1190,GBR,106909,Serpent Trail Race 100km,100.0,2024,207,0 days 09:14:37.500000
59,FRA,97244,Trail du Pays des Châteaux,63.0,2025,206,0 days 05:01:53.250000
1460,POL,109422,Lemkowyna Ultra Trail 150,150.0,2024,206,0 days 17:16:42
578,FRA,103209,Le Festi-Trail - Gana-Trail,67.0,2024,206,0 days 05:19:15.666666666
407,ITA,102107,Dolomiti Extreme Trail 103km,103.0,2024,206,0 days 14:14:45.250000
1050,BEL,105265,Trail de la Siberie - 50km,52.0,2025,206,0 days 04:33:44.750000
711,FRA,104000,Trail du Mont D'Or,53.0,2024,205,0 days 05:25:20.666666666
613,FRA,103483,Ultra Tour des 4 Massifs (UT4M) Xtrem,175.0,2024,205,1 days 03:16:10.750000
190,GER,100255,Allgäu Panorama Ultra Trail,69.0,2024,204,0 days 06:29:53.750000
1713,BEL,112245,Bear Trail 58 Km,58.0,2024,204,0 days 04:51:32
525,SUI,102907,Jura Swiss Trail,55.0,2024,204,0 days 05:29:52.666666666
334,GBR,101756,Epping Forest 50 km,50.0,2024,204,0 days 03:34:46.250000
1096,SVK,105702,Letecká stovka,106.0,2025,202,0 days 09:47:19.666666666
721,GBR,104017,Wendover Woods 50 Mile,80.467,2024,201,0 days 08:00:03.750000
870,FRA,104473,Ultra Trail des Montagnes du Jura - L'UTMJ,175.0,2024,201,0 days 23:26:37.333333333
703,FRA,103989,AravisTrail 48km,48.0,2024,201,0 days 05:20:03.666666666
80,GBR,98278,The Howum - Heart of Wales Ultra Marathon,48.2802,2024,200,0 days 04:27:20
1513,ITA,109780,Rosengarten Schlern Sky Marathon,45.0,2024,200,0 days 04:54:14
823,FRA,104267,Oisans Trail Tour,91.0,2024,199,0 days 10:54:20
961,FRA,104789,Trail De L'Ile D'Yeu 45 km,45.0,2024,199,0 days 03:24:14
169,SUI,100026,Davos X-Trails,68.0,2024,199,0 days 06:00:04.666666666
1360,NED,108243,Amerongse Berg Ultra 50k,50.0,2025,198,0 days 04:11:27.500000
708,FRA,103995,Le Trail La Barjo,100.0,2023,197,0 days 09:31:27
539,FRA,102947,Le Défi des Seigneurs,80.0,2025,196,0 days 07:36:19.750000
842,ITA,104406,Andersen MarathonTrail,46.0,2025,195,0 days 04:29:37.666666666
162,EST,99848,Dubulu Styrnu buks,76.0,2024,195,0 days 06:22:43.666666666
589,FRA,103225,Trails Cathares - Trail des Seigneurs,49.0,2024,194,0 days 06:20:25
872,GRE,104475,Spartathlon,246.0,2024,194,0 days 20:48:06.750000
887,HUN,104543,Ultrabalaton,211.0,2025,194,0 days 17:14:31.800000
1177,BEL,106814,TDI (Trail des Idylles),57.0,2025,194,0 days 05:34:04
662,FRA,103829,Entre Dunes et Bouchots - Le Grand Tra-Hillion,54.0,2024,193,0 days 04:32:11
252,AUT,100799,Mayrhofen Ultraks Zillertal - RK 50,50.0,2024,193,0 days 05:37:10.750000
1282,FRA,107514,Trail de la Vallée du Scorff,52.0,2024,193,0 days 04:23:49.666666666
1341,BEL,107940,Grand Trail des Lacs et Châteaux 85km,85.0,2024,192,0 days 07:43:27.500000
