event1,event2,ratio
Gax 100 miles,Sandsjöbacka 60 km,2.9201884506916533
Gax 100 miles,Sandsjöbacka 90 km,1.6804221213679658
Gax 100 miles,Silverleden Ultra,2.806784439919462
Gax 100 miles,Snapphaneracet,3.8821006773084648
Gax 100 miles,Sätila 85 km,2.0080610667760466
Gax 100 miles,Sörmland Ultra Marathon,4.454810356524608
Gax 100 miles,Sörmlands100 100 km,1.973239259702569
Gax 100 miles,Sörmlands100 100 miles,0.9017672272407239
Gax 100 miles,Sörmlands100 55 km,4.871702196757235
Gax 100 miles,TEC 100 miles,1.0535370379343871
Gax 100 miles,TEC 200 miles,0.47104087936914035
Gax 100 miles,TEC 50 miles,2.3342886401428182
Gax 100 miles,Trail genom Skåne,4.453537270564205
Gax 100 miles,Trans Scania,0.5730112693607695
Gax 100 miles,UKA pain 50 km,3.6443851464841504
Gax 100 miles,Ultravasan 90,2.38640149709822
Gax 100 miles,Ursvik Ultra 75 km,2.3115592938447485
Gax 100 miles,VXO 100 km,2.5925430932423783
Gax 100 miles,Öland Ultra,5.036591478696742
Gax 100 miles,Österlen Spring Trail,3.6616502891310083
Gax 100 miles,Östgöta ultra trail,3.0439742046730687
Gotland Run 511 km,Aros Marathon 50 km,23.4009633630127
Gotland Run 511 km,Black river run 100 miles,5.251420606840356
Gotland Run 511 km,Ecotrail Stockholm 80,11.691731328152718
Gotland Run 511 km,Fjällmaraton 100 km,7.521603871413757
Gotland Run 511 km,Gax 100 miles,4.623662680931403
Gotland Run 511 km,Idre 45 km,21.543339474699003
Gotland Run 511 km,Jättelångt,15.689387822985552
Gotland Run 511 km,Kullamannen 100 miles,5.014438150350276
Gotland Run 511 km,Kullamannen 50 km,13.289719626168225
Gotland Run 511 km,Sörmlands100 100 km,10.598631566740114
Gotland Run 511 km,TEC 100 miles,5.105155880854218
Gotland Run 511 km,TEC 50 miles,14.4242354696196
Gotland Run 511 km,UKA pain 50 km,19.649122807017545
Gotland Run 511 km,Ursvik Ultra 75 km,11.799866128247082
Gotland Run 511 km,VXO 100 km,13.349235131615776
Gotland Ultra,Aros Marathon 50 km,1.100785801787614
Gotland Ultra,Björnfrossa,0.6825572599536365
Gotland Ultra,Black river run 50 miles,0.5152198783542721
Gotland Ultra,Ecotrail Stockholm 45 km,1.0368321396027464
Gotland Ultra,Ecotrail Stockholm 80,0.5147251693509088
Gotland Ultra,Fjällmaraton 100 km,0.3498662793462525
Gotland Ultra,Fjällmaraton 45 km,0.7968439676995939
Gotland Ultra,Gax 100 miles,0.22739401558682087
Gotland Ultra,Gotrun enkle,0.5897826237318097
Gotland Ultra,Göteborg Trail,0.7851699713366639
Gotland Ultra,Hammarby Alpin Marathon,1.049028102810724
Gotland Ultra,Idre 45 km,0.8466672788559606
Gotland Ultra,Jättelångt,0.6864163666867767
Gotland Ultra,Kolmården Ultra Trail,0.7727769645122922
Gotland Ultra,Kullamannen 100 km,0.3489184129166606
Gotland Ultra,Kullamannen 100 miles,0.20302666951431106
Gotland Ultra,Kullamannen 50 km,0.9028293361422125
Gotland Ultra,Lejonbragden 100 km,0.7049778796839872
Gotland Ultra,Sandsjöbacka 60 km,0.6617008376177671
Gotland Ultra,Sandsjöbacka 90 km,0.3478779433378572
Gotland Ultra,Silverleden Ultra,0.616792455816921
Gotland Ultra,Sörmland Ultra Marathon,0.9412186631681878
Gotland Ultra,Sörmlands100 100 km,0.4065579021048089
Gotland Ultra,Sörmlands100 55 km,0.8555950213996615
Gotland Ultra,TEC 100 miles,0.25845244013928603
Gotland Ultra,TEC 46 km,1.115418707721017
Gotland Ultra,TEC 50 miles,0.4951075816014624
Gotland Ultra,UKA pain 50 km,0.833556184606728
Gotland Ultra,Ultravasan 90,0.5319199598527108
Gotland Ultra,Ursvik Ultra 45 km,0.9395315993949762
Gotland Ultra,VXO 100 km,0.5430504760353584
Gotland Ultra,Öland Ultra,1.2222084557925315
Gotland Ultra,Österlen Spring Trail,0.7773482097255665
Gotland Ultra,Östgöta ultra trail,0.6525957832691
